city,name,area,type,capacity,price_note,address,booking_url,pros,concerns,image_refs,notion_url
南昌,麗枫酒店（南昌滕王阁万寿宫地铁站店）,万寿宫,酒店,按房间预订,180¥/间晚,江西·南昌·东湖区·子固路12号,http://dpurl.cn/y0S2M46z,品牌稳定性较高，地铁和市区出行方便。,,IMG_7076.jpg,https://app.notion.com/p/37a582a76ce48136994ffd8a4b54fd65
南昌,兵哥民宿,万寿宫,整套民宿,一套三个房间,350¥/晚,江西·南昌·西湖区·法院宿舍易家巷19号,http://dpurl.cn/I1WN9ogz,空间较大，适合多人同行；靠近万寿宫，方便夜间吃逛。,,IMG_7049.jpg; IMG_7050.jpg; IMG_7051.jpg; IMG_7052.jpg; IMG_7053.jpg,https://app.notion.com/p/37a582a76ce481e3809ae3dc142f67b5
南昌,楠方家民宿,万寿宫,整套民宿,一套三个房间,450¥/晚,江西·南昌·西湖区·系马桩-228号楼,http://dpurl.cn/e6MKPtlz,空间较大，适合多人同行；靠近万寿宫，方便夜间吃逛。,,IMG_7044.jpg; IMG_7046.jpg; IMG_7047.jpg; IMG_7048.jpg; IMG_7054.jpg,https://app.notion.com/p/37a582a76ce4800ab1a9de35220f0e21
南昌,雅斯特国际酒店（南昌八一广场滕王阁店）,八一广场,酒店,按房间预订,160¥/间晚,江西·南昌·西湖区·八一大道142号,http://dpurl.cn/xhugBcFz,位置方便，价格友好。,,IMG_7055.png,https://app.notion.com/p/37a582a76ce48114b984fb356b5e1dd7
庐山,漫步时光二部民宿,牯岭镇,整套民宿,包含3个房间3张大床,760¥/晚,江西·九江·庐山市·牯岭镇大林路55号,http://dpurl.cn/ghi3Tz1z,整套房，适合多人同行；在山上集中住宿，晚上讨论和休息更方便。,价格较高；实际环境、位置和上下坡距离需要确认。,IMG_7061.jpg; IMG_7058.jpg; IMG_7060.jpg; IMG_7059.jpg; IMG_7057.jpg,https://app.notion.com/p/37a582a76ce48102a4fbffe682a39cf8
庐山,麗枫酒店（牯岭街鑫缔店）,牯岭街,酒店,1间大床+1间双床 / 3间大床,250¥/间晚,江西·九江·庐山市·环山路1号,http://dpurl.cn/DHUEXesz,品牌稳定性较好，位置可能较方便；山上两晚休息质量更有保障。,需要确认距离观光车站和餐饮区。,IMG_7064.jpg,https://app.notion.com/p/37a582a76ce48193868ef2fd2ed37a5a
庐山,白玉兰商务酒店（牯岭街店）,牯岭街,酒店,1间大床+1间双床,380¥/间晚,江西·九江·庐山市·庐山风景名胜区河西路4号,http://dpurl.cn/fpzOgnoz,位置和价格相对均衡；适合希望住得稳定但不过度溢价的方案。,价格比普通酒店高。,IMG_7065.jpg,https://app.notion.com/p/37a582a76ce4819ca12ac7fd880fad0a
庐山,山月·Moon美学度假美宿,牯岭镇,美宿/民宿,1间大床+1间双床 / 3间大床,260¥/间晚,江西·九江·庐山市·牯岭镇慧远路102号,http://dpurl.cn/9oxpwssz,价格可能较低，适合作为预算控制方案。,舒适度、隔音、距离牯岭街步行便利性需要确认。,IMG_7063.jpg,https://app.notion.com/p/37a582a76ce48143b0c2c453b4c02209
景德镇,巷隅苔庭·Modern设计师美学民宿,陶溪川,民宿,家庭房包含2个房间3张床,467¥/晚,景德镇珠山区童街路南265号,http://dpurl.cn/GuqWi7Cz,,,IMG_7067.png,https://app.notion.com/p/37a582a76ce481cc8157f11282d52e02
景德镇,幽兰畔居美宿,陶溪川,民宿,家庭房包含2个房间3张床,466¥/晚,景德镇珠山区童街路南98号,http://dpurl.cn/y4YdwMWz,,,IMG_7069.jpg,https://app.notion.com/p/37a582a76ce48008aa67de24da32c476
景德镇,陶公寓（陶溪川文创街区店）,陶溪川,公寓,定三个房间,160¥/间晚,景德镇珠山区新厂西路陶公寓,http://dpurl.cn/zdAY2eKz,位置靠近陶溪川，晚上逛街和回住处方便；价格可能较低。,,IMG_7066.png,https://app.notion.com/p/37a582a76ce4810d9b33dd491b5ee80a
景德镇,麗枫酒店（景德镇陶溪川店）,陶溪川,酒店,豪华房包含2个房间，1张大床+2张单人床,645¥/晚,景德镇珠山区童宾路10号,http://dpurl.cn/Hd3tnEyz,,,IMG_7070.jpg,https://app.notion.com/p/37a582a76ce48043bc35e7307beb94d6
三清山,曼居酒店（上饶三清山金沙索道店）,东部金沙索道,酒店,1间大床+1间双床,350¥/间晚,上饶三清山202省道欢墅名人度假村,http://dpurl.cn/CSeRxeJz,距离金沙索道较近，适合第二天早上快速上山。,需要确认真实步行距离、早餐和周边餐饮。,IMG_7075.jpg,https://app.notion.com/p/37a582a76ce4810d8c7dcb020aaebd44
三清山,安缦酒店（三清山东部金沙索道店）,东部金沙索道,酒店,1间大床+1间双床,306¥/间晚,上饶三清山风景名胜区三清乡上西坑村金沙服务区5幢1-1,http://dpurl.cn/VwKRucEz,靠近金沙索道，第二天上山方便；适合一日游压缩交通时间。,需要确认是否真在东部核心区域；周边餐饮和配套可能不如南部成熟。,IMG_7073.jpg,https://app.notion.com/p/37a582a76ce4814ea186d4a2aa3614a0
三清山,三清山希尔顿度假酒店,南部外双溪索道,度假酒店,1间大床+1间双床,490¥/间晚,上饶三清山风景名胜区南部外双溪景区,http://dpurl.cn/68FmUeWz,舒适度高，适合最后一晚充分休息；南部配套可能更成熟。,价格明显较高；如果只住一晚且第二天一日游，性价比需要讨论。,IMG_7072.jpg,https://app.notion.com/p/37a582a76ce481b3a9cbd7c7fa637570
三清山,三清山岁丰时和度假酒店,南部外双溪索道,酒店,1间大床+1间双床,390¥/间晚,上饶三清山枫林镇外双溪游客中心西北200米,http://dpurl.cn/jDXQP46z,靠近外双溪游客中心，南部上山方便；配套可能比东部更成熟。,价格和房间品质需要确认；与东部方案相比返程压力是否更小需再判断。,IMG_7071.jpg,https://app.notion.com/p/37a582a76ce4810f88f5efa5561783f1
